Array size;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100
binaryInsertionSort - ../arrays/4100-0-5.txt;6863;22360;46477;75250;118710;166370;215991;276168;353709;425083;518803;608440;708045;826471;946155;1061589;1193758;1336402;1488477;1641063;1807762;1981126;2158597;2360875;2567085;2791755;3045293;3291457;3513027;3727624;4020644;4304878;4556216;4869899;5168821;5461308;5799168;6093059;6415418;6740001;7057739
binaryInsertionSort - ../arrays/4100-0-4000.txt;7522;25313;54214;89227;136595;200361;274106;355373;443267;551922;665533;776115;908130;1048469;1201178;1368754;1531948;1733802;1912949;2124892;2327077;2540666;2776395;3012456;3251559;3490837;3761647;4031863;4333839;4612513;4934061;5254264;5575714;5918080;6255556;6624395;6991857;7362128;7762304;8163014;8596556
binaryInsertionSort - ../arrays/4100-almost-sorted.txt;2352;5332;8530;11859;15199;18797;22426;26056;29722;33358;37227;41179;45109;49050;52996;56928;60876;64814;68792;72742;76870;81102;85346;89575;93795;98045;102279;106519;110760;114982;119237;123481;127741;131975;136195;140445;144693;148929;153175;157455;161716
binaryInsertionSort - ../arrays/4100-reversed.txt;11934;44453;97188;170088;262988;376155;509355;662555;835755;1028955;1242386;1475886;1729386;2002886;2296386;2609886;2943386;3296886;3670386;4063886;4477545;4911345;5365145;5838945;6332745;6846545;7380345;7934145;8507945;9101745;9715545;10349345;11003145;11676945;12370745;13084545;13818345;14572145;15345945;16139745;16953560
bubbleSort - ../arrays/4100-0-5.txt;26994;106041;237685;416070;656373;942796;1271985;1657062;2108068;2589774;3144873;3733807;4377612;5089680;5843518;6630945;7483398;8391586;9353898;10356945;11421103;12535200;13695390;14932795;16216107;17567037;19001260;20464359;21930495;23426239;25079577;26759727;28430524;30234870;32057016;33909505;35870031;37804572;39821824;41882412;43972719
bubbleSort - ../arrays/4100-0-4000.txt;27996;110529;249367;437148;683304;993949;1359432;1776126;2242630;2780235;3365193;3985540;4678014;5422902;6226255;7091931;7990962;8987974;9990921;11083017;12200440;13374915;14622591;15910720;17243403;18616299;20076448;21575661;23162478;24754396;26450571;28184715;29960743;31808091;33688104;35655166;37660095;39709251;41843233;44018016;46282029
bubbleSort - ../arrays/4100-almost-sorted.txt;20079;80193;180310;320367;500427;720505;980571;1280625;1620724;2000778;2420853;2880949;3381021;3921105;4501201;5121258;5781330;6481387;7221504;8001579;8821696;9681762;10581855;11521912;12501960;13522062;14582122;15682209;16822275;18002317;19222413;20482479;21782569;23122620;24502650;25922725;27382797;28882851;30422920;32003040;33623118
bubbleSort - ../arrays/4100-reversed.txt;34848;139698;314548;559398;874248;1259098;1713948;2238798;2833648;3498498;4233348;5038198;5913048;6857898;7872748;8957598;10112448;11337298;12632148;13996998;15431848;16936698;18511548;20156398;21871248;23656098;25510948;27435798;29430648;31495498;33630348;35835198;38110048;40454898;42869748;45354598;47909448;50534298;53229148;55993998;58828848
bubbleSortI1 - ../arrays/4100-0-5.txt;26584;103779;230723;406068;635535;916854;1232203;1607784;2049666;2518432;3060131;3629949;4254714;4941782;5671880;6446263;7273596;8150888;9083160;10060635;11098065;12182590;13313672;14498613;15757425;17057127;18424542;19823577;21245985;22698981;24290719;25917225;27554006;29263072;31028658;32790207;34690093;36552890;38493014;40514274;42506877
bubbleSortI1 - ../arrays/4100-0-4000.txt;27586;110451;249945;437638;684194;993951;1359210;1771568;2244428;2781873;3365151;3984158;4678876;5419764;6223533;7086289;7987980;8989056;9990939;11084355;12188622;13369093;14620113;15907958;17232025;18606537;20075466;21576163;23157180;24757434;26421661;28187997;29957685;31785369;33687042;35657856;37665513;39710913;41833923;44019174;46287851
bubbleSortI1 - ../arrays/4100-almost-sorted.txt;1657;4935;7452;9909;12369;14847;17313;19767;22266;24720;27195;29691;32163;34647;37143;39600;42072;44529;47046;49521;52038;54504;56997;59454;61902;64404;66864;69351;71817;74259;76755;79221;81711;84162;86592;89067;91539;93993;96462;114958;117836
bubbleSortI1 - ../arrays/4100-reversed.txt;35046;140096;315146;560196;875246;1260296;1715346;2240396;2835446;3500496;4235546;5040596;5915646;6860696;7875746;8960796;10115846;11340896;12635946;14000996;15436046;16941096;18516146;20161196;21876246;23661296;25516346;27441396;29436446;31501496;33636546;35841596;38116646;40461696;42876746;45361796;47916846;50541896;53236946;56001996;58837046
bubbleSortI2 - ../arrays/4100-0-5.txt;1223;2478;3730;4970;6222;7465;8666;9927;11179;12416;13674;14900;16116;17370;18610;19832;21066;22309;23541;24784;26023;27257;28488;29720;30960;32199;33448;34702;35925;37151;38420;39669;40912;42164;43410;44650;45896;47124;48361;49619;50877
bubbleSortI2 - ../arrays/4100-0-4000.txt;1265;2553;3850;5150;6450;7750;9050;10350;11647;12947;14247;15547;16847;18147;19447;20747;22047;23347;24647;25947;27247;28547;29847;31147;32447;33747;35047;36347;37647;38947;40247;41547;42847;44147;45447;46747;48047;49347;50647;51947;53247
bubbleSortI2 - ../arrays/4100-almost-sorted.txt;1039;2104;3208;4253;5227;6301;7387;8427;9505;10548;11585;12677;13731;14764;15825;16763;17974;18942;20093;21147;22223;23260;24336;25381;26402;27474;28482;29606;30640;31651;32765;33816;34874;35916;36936;38005;39062;40100;41154;42230;43282
bubbleSortI2 - ../arrays/4100-reversed.txt;1289;2589;3889;5189;6489;7789;9089;10389;11689;12989;14289;15589;16889;18189;19489;20789;22089;23389;24689;25989;27289;28589;29889;31189;32489;33789;35089;36389;37689;38989;40289;41589;42889;44189;45489;46789;48089;49389;50689;51989;53289
insertionSort - ../arrays/4100-0-5.txt;7295;26642;58586;97271;157874;224597;294086;379463;490769;592775;728174;857408;1001513;1173881;1348019;1515746;1708499;1916987;2139599;2362946;2607404;2861801;3122291;3419996;3723608;4054838;4429361;4792760;5119196;5435240;5868878;6289328;6660425;7125071;7567517;8000306;8501132;8935973;9413525;9894413;10365020
insertionSort - ../arrays/4100-0-4000.txt;8297;31130;70268;118349;184805;275750;381533;498527;625331;783236;948494;1109141;1301915;1507103;1730756;1976732;2216063;2513375;2776622;3089018;3386741;3701516;4049492;4397921;4750904;5104100;5504549;5904062;6351179;6763397;7239872;7714316;8190644;8698292;9198605;9745967;10291196;10840652;11434934;12030017;12674330
insertionSort - ../arrays/4100-almost-sorted.txt;380;794;1211;1568;1928;2306;2672;3026;3425;3779;4154;4550;4922;5306;5702;6059;6431;6788;7205;7580;7997;8363;8756;9113;9461;9863;10223;10610;10976;11318;11714;12080;12470;12821;13151;13526;13898;14252;14621;15041;15419
insertionSort - ../arrays/4100-reversed.txt;15149;60299;135449;240599;375749;540899;736049;961199;1216349;1501499;1816649;2161799;2536949;2942099;3377249;3842399;4337549;4862699;5417849;6002999;6618149;7263299;7938449;8643599;9378749;10143899;10939049;11764199;12619349;13504499;14419649;15364799;16339949;17345099;18380249;19445399;20540549;21665699;22820849;24005999;25221149
mergeSort - ../arrays/4100-0-5.txt;3657;8317;13337;18637;23937;29677;35477;41277;47077;52877;59057;65357;71657;77957;84257;90557;96857;103157;109457;115757;122317;129117;135917;142717;149517;156317;163117;169917;176717;183517;190317;197117;203917;210717;217517;224317;231117;237917;244717;251517;258337
mergeSort - ../arrays/4100-0-4000.txt;3657;8317;13337;18637;23937;29677;35477;41277;47077;52877;59057;65357;71657;77957;84257;90557;96857;103157;109457;115757;122317;129117;135917;142717;149517;156317;163117;169917;176717;183517;190317;197117;203917;210717;217517;224317;231117;237917;244717;251517;258337
mergeSort - ../arrays/4100-almost-sorted.txt;3657;8317;13337;18637;23937;29677;35477;41277;47077;52877;59057;65357;71657;77957;84257;90557;96857;103157;109457;115757;122317;129117;135917;142717;149517;156317;163117;169917;176717;183517;190317;197117;203917;210717;217517;224317;231117;237917;244717;251517;258337
mergeSort - ../arrays/4100-reversed.txt;3657;8317;13337;18637;23937;29677;35477;41277;47077;52877;59057;65357;71657;77957;84257;90557;96857;103157;109457;115757;122317;129117;135917;142717;149517;156317;163117;169917;176717;183517;190317;197117;203917;210717;217517;224317;231117;237917;244717;251517;258337
pyramideSort - ../arrays/4100-0-5.txt;4554;10492;16739;23411;30078;37222;44162;51465;58555;66723;73958;81696;89657;97639;105337;112836;120976;129827;137699;146185;154389;163156;171242;179637;187764;196793;204318;213379;221831;230558;237854;247345;255485;263832;272339;280172;288165;296371;305077;314066;322483
pyramideSort - ../arrays/4100-0-4000.txt;5281;12410;20141;28370;36622;45307;54187;63529;72448;81584;90840;100845;110515;120184;130145;140033;149755;159690;170278;179801;190398;200473;210940;221664;232545;243277;253698;264542;275094;285606;297056;307361;318362;328785;339552;350930;361430;372707;383313;394978;406240
pyramideSort - ../arrays/4100-almost-sorted.txt;5848;13524;21691;30330;39263;48734;58439;67990;77603;87260;97443;107804;118241;128576;139181;149560;160178;170478;181013;191645;202470;213672;225037;236194;247541;258849;270055;281561;292900;304317;315840;327332;338678;349887;361285;372994;384395;395796;407342;418823;430532
pyramideSort - ../arrays/4100-reversed.txt;4835;11150;18288;25765;33478;41514;49827;58285;66946;75064;84388;93086;102653;111508;121467;129942;139799;148947;159326;167752;177855;187176;197988;206845;216857;226257;237051;246191;256262;266060;277061;286955;296610;307036;318159;327913;337695;348712;359439;369621;379473
quickSort - ../arrays/4100-0-5.txt;1893;3950;6639;9496;11771;14116;16401;19889;21807;24935;27554;31144;35015;36196;38609;42181;45136;48771;50115;51014;56184;63811;64168;67492;66784;73082;75963;78878;80586;83451;89671;92848;91453;93638;100537;104017;107790;110319;112737;119996;122792
quickSort - ../arrays/4100-0-4000.txt;2259;5119;7973;11774;15971;17780;22627;23838;28815;29328;33651;38639;40413;47418;53770;52682;55884;62630;61761;67350;72971;73710;78442;86852;88069;89695;94569;97955;99114;101540;118622;122103;115382;116863;131583;128520;132763;137480;145633;141789;157860
quickSort - ../arrays/4100-almost-sorted.txt;1736;3934;6287;8595;10752;13481;16117;18583;20865;23311;26139;29190;32171;35001;37790;40245;43025;45397;48245;50823;53827;56627;60057;63155;66189;69285;72467;75553;78334;81505;84265;87021;89892;92575;95245;98121;100784;103737;106333;109191;112496
quickSort - ../arrays/4100-reversed.txt;1661;3713;5711;8213;9813;12583;15483;18009;19809;21609;24423;27523;30623;33723;36823;39197;41197;43197;45197;47197;49899;53199;56499;59799;63099;66399;69699;72999;76299;79599;82569;84769;86969;89169;91369;93569;95769;97969;100169;102369;104647
radixSort - ../arrays/4100-0-5.txt;2734;3934;5134;6334;7534;8734;9934;11134;12334;13534;14734;15934;17134;18334;19534;20734;21934;23134;24334;25534;26734;27934;29134;30334;31534;32734;33934;35134;36334;37534;38734;39934;41134;42334;43534;44734;45934;47134;48334;49534;50734
radixSort - ../arrays/4100-0-4000.txt;5468;7868;10268;12668;15068;17468;19868;22268;24668;27068;29468;31868;34268;36668;39068;41468;43868;46268;48668;51068;53468;55868;58268;60668;63068;65468;67868;70268;72668;75068;77468;79868;82268;84668;87068;89468;91868;94268;96668;99068;101468
radixSort - ../arrays/4100-almost-sorted.txt;8202;11802;15402;19002;22602;26202;29802;33402;37002;40602;44202;47802;51402;55002;58602;62202;65802;69402;73002;76602;80202;83802;87402;91002;94602;98202;101802;105402;109002;112602;116202;119802;123402;127002;130602;134202;137802;141402;145002;148602;152202
radixSort - ../arrays/4100-reversed.txt;5468;7868;10268;12668;15068;17468;19868;22268;24668;27068;29468;31868;34268;36668;39068;41468;43868;46268;48668;51068;53468;55868;58268;60668;63068;65468;67868;70268;72668;75068;77468;79868;82268;84668;87068;89468;91868;94268;96668;99068;101468
selectionSort - ../arrays/4100-0-5.txt;10331;40654;90984;161311;251653;362013;492313;642640;812969;1003294;1213618;1443915;1694206;1964561;2254887;2565241;2895544;3245862;3616189;4006485;4416816;4847154;5297487;5767811;6258162;6768512;7298862;7849236;8419557;9009893;9620254;10250576;10900891;11571211;12261554;12971878;13702241;14452532;15222889;16013208;16823541
selectionSort - ../arrays/4100-0-4000.txt;10510;41150;91826;162675;253359;364118;494782;645658;816525;1007396;1218388;1448946;1700345;1970880;2261814;2572787;2903395;3254331;3625242;4016248;4427063;4858088;5309024;5779767;6270569;6781748;7312929;7863496;8435006;9025600;9636714;10267782;10918056;11588949;12280128;12991375;13721561;14472375;15244028;16034738;16845135
selectionSort - ../arrays/4100-almost-sorted.txt;10221;40452;90684;160900;251117;361337;491555;641772;811995;1002211;1212434;1442660;1692881;1963105;2253331;2563549;2893771;3243988;3614217;4004439;4414667;4844886;5295111;5765329;6255542;6765771;7295989;7846215;8416434;9006646;9616874;10247093;10897317;11567531;12257741;12967961;13698182;14448398;15218618;16008845;16819068
selectionSort - ../arrays/4100-reversed.txt;12697;50397;113097;200797;313497;451197;613897;801597;1014297;1251997;1514697;1802397;2115097;2452797;2815497;3203197;3615897;4053597;4516297;5003997;5516697;6054397;6617097;7204797;7817497;8455197;9117897;9805597;10518297;11255997;12018697;12806397;13619097;14456797;15319497;16207197;17119897;18057597;19020297;20007997;21020697
shellSortCr - ../arrays/4100-0-5.txt;817;1769;2919;3886;5236;6861;7896;8286;9446;10736;11348;12033;12443;13728;14478;16303;17698;19093;20188;21878;23008;24933;24688;25913;26968;28473;29763;31933;33093;33433;35333;37358;38140;38830;39550;41280;41335;41580;43005;43705;44805
shellSortCr - ../arrays/4100-0-4000.txt;2387;5499;8924;12901;17851;21281;26776;31946;36216;42656;50198;53763;62723;67668;74988;80083;88853;91808;96398;104213;108923;112763;121758;127503;133613;143043;152783;158633;169713;174198;186723;188258;204270;208890;213735;233375;228825;239310;242800;252435;256920
shellSortCr - ../arrays/4100-almost-sorted.txt;132;294;459;556;656;786;896;986;1146;1236;1363;1513;1633;1773;1923;2018;2138;2233;2428;2553;2678;2768;2923;3018;3098;3248;3338;3483;3583;3653;3803;3913;4035;4120;4170;4295;4415;4505;4620;4760;4890
shellSortCr - ../arrays/4100-reversed.txt;1157;3669;4209;6781;9031;11481;15061;13731;15181;19611;27113;25833;23573;25253;34213;26233;44083;36913;43873;36433;47483;56013;51043;50393;50563;51303;57153;62803;75173;67543;67793;83673;88975;96095;74435;82825;80405;72565;85375;96495;83555
shellSortSh - ../arrays/4100-0-5.txt;1585;3608;5682;8109;9698;12839;14785;18575;20009;21865;25690;28942;31654;33233;34903;42557;41139;44542;43990;47774;52410;57071;57778;64800;65917;68269;69500;73608;74639;78366;78979;95324;85075;90046;88732;97347;93350;98293;99296;109368;127287
shellSortSh - ../arrays/4100-0-4000.txt;2266;5411;8745;14100;16925;21674;26185;34289;37844;38959;46441;51058;58900;61928;60865;83498;73488;90487;81427;90728;103989;109295;111877;120711;126676;138526;138239;139494;140297;141537;196039;200339;165964;175591;181609;220953;187250;191341;193895;220806;408333
shellSortSh - ../arrays/4100-almost-sorted.txt;1093;2591;4461;5937;7391;10010;11668;13367;15041;16699;20479;22357;24226;26093;27955;29906;31782;33625;35527;37394;43281;45329;47416;49461;51493;53605;55655;57726;59774;61806;64105;66161;68239;70288;72322;74385;76463;78517;80576;82656;92517
shellSortSh - ../arrays/4100-reversed.txt;1798;4280;7224;9942;13328;16526;19990;22664;26966;30130;33532;37228;41968;44852;48322;50906;54450;60208;62194;67232;70410;74738;82636;82830;89452;93010;96152;99474;102494;107112;108472;112988;123838;120772;123916;132990;134288;137656;145358;148434;151728
stableCountingSort - ../arrays/4100-0-5.txt;715;1415;2115;2815;3515;4215;4915;5615;6315;7015;7715;8415;9115;9815;10515;11215;11915;12615;13315;14015;14715;15415;16115;16815;17515;18215;18915;19615;20315;21015;21715;22415;23115;23815;24515;25215;25915;26615;27315;28015;28715
stableCountingSort - ../arrays/4100-0-4000.txt;12694;13394;14094;14794;15494;16194;16894;17594;18294;18994;19694;20394;21094;21794;22494;23194;23894;24594;25294;25994;26694;27394;28094;28794;29494;30194;30894;31594;32294;32994;33694;34394;35094;35794;36494;37194;37894;38594;39294;39994;40694
stableCountingSort - ../arrays/4100-almost-sorted.txt;496897;497597;498297;498997;499697;500397;501097;501797;502497;503197;503897;504597;505297;505997;506697;507397;508097;508797;509497;510197;510897;511597;512297;512997;513697;514397;515097;515797;516497;517197;517897;518597;519297;519997;520697;521397;522097;522797;523497;524197;524897
stableCountingSort - ../arrays/4100-reversed.txt;13003;13703;14403;15103;15803;16503;17203;17903;18603;19303;20003;20703;21403;22103;22803;23503;24203;24903;25603;26303;27003;27703;28403;29103;29803;30503;31203;31903;32603;33303;34003;34703;35403;36103;36803;37503;38203;38903;39603;40303;41003
